朝阳公园酒仙桥南十里居小三居室，低楼层，仅有契税,342万,单价53944元/平米
香悦四季 3室2厅 430万,430万,单价45164元/平米
满五年唯一 大二居 价格可谈 看房随时,586万,单价60301元/平米
坡头西街两居室 满五唯一 南北通透  中间楼层,186万,单价34066元/平米
都城心屿 2室1厅 565万,565万,单价73102元/平米
左右坊 1室0厅 276万,276万,单价71875元/平米
南北通透三居室，满五年唯一，看房方便，可随时签约,730万,单价52949元/平米
天恒乐活城南向两居室采光好精装修看房方便,237万,单价29260元/平米
南向全明一居，满五年，看房有钥匙,262万,单价49962元/平米
满五唯一，精装修，诚心出售，价格合适,328万,单价40539元/平米
满五唯一、精装两居室、名厨明卫,480万,单价53740元/平米
中间楼层，外观改造好，满五年唯一，有钥匙,236万,单价42068元/平米
西斯莱南北小三居楼层高视野好业主诚心出售,520万,单价56198元/平米
业主诚心出售 满5年唯一 地铁4+10号线角门西站,425万,单价59416元/平米
首付137万，南北通透一居室，电梯房，立水桥地铁500米,320万,单价58140元/平米
南北通透  满五年 在京家庭名下单一住房,590万,单价66026元/平米
珠江逸景满五唯一正规一居室，户型方正,210万,单价37601元/平米
满五年唯一，东南北朝向，高楼层 精装修 水景社区,549万,单价51759元/平米
定福庄西街  南北通透  两居室,278万,单价46606元/平米
南北全明户型，独楼独院管理，购房成本低,820万,单价90508元/平米
回龙观精装修电梯两居两卫 南北通透 一梯两户,395万,单价42125元/平米
万科紫苑南北花园洋房三居，保持好，给周期，方便看房,610万,单价64496元/平米
满五年朝东大两居 高楼层 采光视野没有遮挡 随时看房,723万,单价70537元/平米
百子湾家园二区 2室1厅 570万,570万,单价49795元/平米
丽水园 2室2厅 660万,660万,单价63548元/平米
龙城花园，  装修好，上叠拼，可直接入住,880万,单价40447元/平米
陶然北岸全明格局电梯直达双卫三居室,1860万,单价123646元/平米
今日家园 双面采光商品房两居 无二次采光,680万,单价73705元/平米
金台里，房管局家属楼，独楼独院,456万,单价69918元/平米
满五唯一 精装修 南北通透 一梯两户,559万,单价61362元/平米
设计好，颜值高，免装修；双通透，大面宽，视野好。,1770万,单价105773元/平米
精装修，正对小区花园，安静采光无遮挡，带飘窗。,399万,单价52144元/平米
卧龙小区  板楼  东南向  三居室,930万,单价94667元/平米
首开畅心园 2室1厅 318万,318万,单价44846元/平米
角门西 晨光小区 南北通透 精装修两居,380万,单价69815元/平米
云趣园双通透两居室 俯瞰幼儿园 商满五唯一,430万,单价45926元/平米
南北通透大三居  小区中间位置楼栋,668万,单价47968元/平米
长阳半岛1号院 2室1厅 374万,374万,单价41770元/平米
全明格局，双明卫，大厨房，高居住舒适度，无遮挡。,1118万,单价86446元/平米
润枫水尚 3室2厅 1300万,1300万,单价78333元/平米
一层带花园 南北二居 落地窗 采光视野好,416万,单价47778元/平米
南北通透采光充足楼层适中交通方便,219万,单价37513元/平米
西山林语主力三居户型 精装修中楼层朝向好,525万,单价57472元/平米
满五唯一，南向一居室，中间楼层采光充足，拎包入住！,305万,单价43183元/平米
满五年唯一公房，东西向出门交通方便,348万,单价64865元/平米
南北向2居室 客厅带东窗 精装修 满五年家庭名下一套房,570万,单价92085元/平米
全南 采光视野好 明卫明卫 中间位置,640万,单价68714元/平米
宋家庄朝南带电梯一居  大阳台,310万,单价50820元/平米
满五唯一商品房。精装修 拎包入住 有钥匙随时看房,338万,单价45303元/平米
皂君庙 南北通透 精装修 94年 两居室,500万,单价84176元/平米
兴海家园星苑 南北通透两居室 满五年唯一 中间楼层,383万,单价49350元/平米
店长推荐，满五唯一，不临街，无遮挡，价格可谈,475万,单价46587元/平米
满五年唯一商品房，不临街无遮挡,520万,单价54795元/平米
满五年家庭名下仅一套住房，免个税和增值税，东南向,355万,单价44716元/平米
08年社区，全南两居，中间楼层，有电梯，采光充足,568万,单价69252元/平米
西直门 精装婚房 正对花园 满五年 带车位,798万,单价88285元/平米
精装修，双南朝向，中楼层，管理好，交通便利,786万,单价117718元/平米
风度柏林  满五年唯一 景观好 安静不临街 看房方便,778万,单价73293元/平米
珠江绿洲，经典小复式，满五年唯一，适合多贷款,382万,单价51755元/平米
和义西里二区 1室1厅 225万,225万,单价44397元/平米
马家堡，角门，满五年唯一商品房，南北通透两居室,395万,单价61250元/平米
绿岛家园 1室2厅 265万,265万,单价34636元/平米
江山赋 2室1厅 560万,560万,单价58419元/平米
正规南向一居室，满五唯一，无遮挡不临街,490万,单价85575元/平米
满五年公房 南北通透 中间楼层 精装修 采光好,439万,单价67023元/平米
筑华年满5唯一2居，板楼南北通透，全明格局，方便看,615万,单价71396元/平米
远洋一方 南向一居，满五唯一，中间楼层，精装未住,268万,单价49612元/平米
满五年唯一，高楼层，采光好，视野开阔，,479万,单价77584元/平米
满五唯一商品房   精装修 中间楼层,232万,单价37602元/平米
满五唯一 税费少 西南向两居室 诚心出售,480万,单价72442元/平米
金隅万科城 通透两居室 满五年唯一 厨房卫生间带窗户,383万,单价46123元/平米
洋桥马家堡低总价有电梯南向两居室，,322万,单价56711元/平米
管庄西里 南北通透正规两居 户型方正 随时看房,288万,单价50061元/平米
南三环 成寿寺 全南向两居室。,455万,单价51570元/平米
金隅万科城 电梯东西通透两居室 满五唯一,362万,单价42020元/平米
三义东里 公房 东南向 两居 电梯房 税费少 近地铁,524万,单价92270元/平米
满五年唯一  南向采光好 自住保持好,308万,单价49630元/平米
次顶层，视野好，人车分流，满五唯一，南北通透,1340万,单价90103元/平米
满五年无二套  保养好 户型方正 总价低,430万,单价46801元/平米
满五唯一，正规两居室，总价低，无个税,315万,单价45932元/平米
南北通透三居 满五唯一 自住装修  明厨明卫 业主诚售,528万,单价58824元/平米
南三环 珠江骏景北区 南北三居室,810万,单价59328元/平米
金汉绿港三区 南北通透 全明户型,410万,单价43104元/平米
不临街安静，露台卧室B不算面积，满五年唯一,430万,单价56706元/平米
板楼南北通透全明格局三居室看房方便诚意出售,698万,单价89718元/平米
兰德华庭不临街两居室，南北通透，户型方正,730万,单价82814元/平米
满五唯一精装三居，南北通透近地铁,420万,单价48696元/平米
金地满五唯一复式，南北通透，北面有30平露台,870万,单价47451元/平米
西四环大成路南北通透三居室，板楼带电梯 格局方正,650万,单价55804元/平米
珠江绿洲 西南三居 满五年唯一 看房方便 临河观景,579万,单价49365元/平米
南北通透 明厨明卫 开放阳台（可自己封）,1088万,单价69005元/平米
南北通透3居室  客厅朝南25平 地科院院士楼,1110万,单价116597元/平米
此房是双卧朝南的正规大两居，双卧带阳台，精装修,530万,单价70762元/平米
德胜门育翔 延安大院 田字格三居 明厨明卫 4层 89年,1260万,单价142534元/平米
东四环，高层两居室，视野开阔，业主诚意出售,559万,单价55172元/平米
南北通透不临街客厅带阳台朝南主卧室朝南采光通风好,549万,单价87143元/平米
聚兴园精装修三居室，南北通透户型好,629万,单价54820元/平米
远中悦麒 1室1厅 390万,390万,单价56539元/平米
八角北里 精装修 带客厅南北 主流户型 有钥匙,330万,单价51904元/平米
正东向小两居，满五年，没有个税。,462万,单价58519元/平米
满五唯一商品房，高楼层，视线开阔无遮挡,310万,单价47766元/平米
北二区 商品房满五年业主家庭就这一套房 南北通透两居,430万,单价39102元/平米
金隅康惠园 3室1厅 408万,408万,单价39486元/平米
南北通透大两居室  满五唯一 楼层适中 双卫,750万,单价67331元/平米
首邑溪谷 满五年，家庭名下暂无其他住房,320万,单价68100元/平米
全南两居室，小区中间位置，满五唯一,700万,单价68101元/平米
南竺园三居室，满五年唯一，随时看房,350万,单价26488元/平米
运河湾 高层观景复式 满五唯一 无抵押,539万,单价55408元/平米
东方太阳城 临湖边3居全明户型 一层带花园  随时看房,565万,单价32695元/平米
花园洋房，板楼户型平层三居室，双通透户型，满五唯一,769万,单价49687元/平米
南北通透三居 满五唯一 高楼层 有车位 看房方便,1130万,单价65863元/平米
全南三居，含一个产权车位，中楼层，急售,1100万,单价64733元/平米
满五唯一    带有窗户地下室  暖气已改好,799万,单价74541元/平米
商品房 主卧室朝南 精装修 南北通透 靠谱签约,392万,单价44060元/平米
南北通透两居室  精装修 采光好,252万,单价43441元/平米
顺驰领海观湖四居室，12年房龄，地暖，满五年唯一,880万,单价47358元/平米
光熙家园三期 温馨三居室 南北通透 满五唯一 看房方便,1310万,单价95950元/平米
南北电梯两居  精装修保持干净拎包入住,430万,单价48798元/平米
南北通透有45平米露台，满五年唯一，单价7.99万,1299万,单价79968元/平米
宋家庄地铁 南向正规两居室 大客厅大阳台 满五唯一,459万,单价50657元/平米
城市经典 西南向三居，满五年唯一随时可看,485万,单价40939元/平米
观澜国际三居好户型 无遮挡 采光好,1320万,单价85865元/平米
满五年唯一 商品房 西南大三居 高层视野 登高望远,890万,单价67537元/平米
商品房满五年唯一 三面朝南大三居 中间层看房方便,560万,单价27947元/平米
花园洋房 高品质社区 3+1户型 南北通透 满五年,785万,单价59317元/平米
万科城市花园 带电梯 精装修 两卧客厅朝南,640万,单价40103元/平米
二层带露台  满五唯一 看房方便,350万,单价38928元/平米
房子满五唯一商品房前排楼不临街,840万,单价59638元/平米
朝阳公园南门，金台路口，南北复式，业主诚售,870万,单价69550元/平米
泰河园一里一区大三居室  电梯房   南北朝向,435万,单价38236元/平米
满五唯一，东南向两居室，高楼层，采光视野好,680万,单价74147元/平米
东南金角 户型方正 满五唯一 看房随时诚意卖,788万,单价52544元/平米
青塔蔚园两居室 全明格局 中间楼层 房本已满五年,315万,单价53700元/平米
高层南向三居   方便看房   安静不临街,1750万,单价97450元/平米
东辰小区 2室1厅 339万,339万,单价53759元/平米
定慧寺 定慧东里 满五年唯一 精装修 户型方正,356万,单价76725元/平米
东城区 南北通透 两居室  中楼层,480万,单价73227元/平米
瀛海镇2004年的电梯商品房，采光充足，户型方正,270万,单价43409元/平米
阳光两居，南北双通透，三层采光好,435万,单价48888元/平米
永定路西里  边户  正规两居明厨明卫 大窗户带电梯,730万,单价100303元/平米
急售：明卫三居、带电梯、高层 视野好,458万,单价49541元/平米
珠江罗马嘉园 板楼三居室 一梯两户 南北通透采光佳,860万,单价69772元/平米
中鑫嘉园 正南向 2室2卫  精装修 满五年家庭唯一住房,968万,单价96800元/平米
武圣东里 南北通透 明厨明卫 满五唯一  精装修 2居室,385万,单价59041元/平米
四环内，低密度社区，南北向三居，临近水系,1480万,单价102707元/平米
佰嘉城 电梯房三居 满五年 中间层 南北通透,470万,单价38405元/平米
南北通透大客厅 满五唯一 中楼层采光好,1050万,单价109490元/平米
满五唯一 户型方正的三居室，带两个卫生间~,1030万,单价82805元/平米
知春路 汉荣家园 精装南向两居 高楼层 业主诚意出售,868万,单价99874元/平米
有地下车位 全南两居室 满二公房 楼间距200米价格能谈,468万,单价71615元/平米
电梯房正规南向一居室 海淀产权,318万,单价69707元/平米
秀水园交通部宿舍南北二居大客厅有钥匙随时看房,430万,单价76309元/平米
嘉园一里西南向三居，满五年公房，精装修，有钥匙,495万,单价54510元/平米
西南两居室，采光充足，交通便利，带电梯,348万,单价55877元/平米
茂华景公阁 3室1厅 910万,910万,单价62946元/平米
北二环边正规南向两居室 满五唯一公房 业主诚心出售,430万,单价84813元/平米
二环内正规精装修一居 随时签约,528万,单价119728元/平米
精装修，三环内，08年70年产权住宅，大两居客厅落地窗,599万,单价51053元/平米
都市馨园  满五唯一 南北通透 户型端正 采光好,698万,单价102648元/平米
白纸坊 信建里 南北通透 满五年 公房两居,668万,单价104999元/平米
长椿街 宣武门  满五年公房 康乐里 诚售,549万,单价109822元/平米
美景东方 2室1厅 705万,705万,单价69302元/平米
北二环什刹海 02年新房 板楼带电梯 南北通透 有车位,1580万,单价136702元/平米
万柳 万泉新新家园 2015年新装修，含地下车位和储物间,3099万,单价132999元/平米
刚需小户型，首付123，中间楼层,290万,单价71201元/平米
双地铁 房子新 精装修 无遮挡 落地窗,319万,单价56965元/平米
通惠家园 后排安静 东南向 无遮挡的东南向两居室！,435万,单价50354元/平米
月亮城堡 1室0厅 258万,258万,单价44194元/平米
大区优选房源 满五唯一 全南两居,267万,单价36666元/平米
装修保持良好，领包入住，高楼层有电梯。,518万,单价55538元/平米
远见名苑朝东开间 商品房  无抵押,489万,单价92474元/平米
北京新天地二期 1室1厅 352万,352万,单价56876元/平米
满五年唯一商品房中间楼层采光好精装修拎包入住,409万,单价63579元/平米
精装一居，南北通透户型，楼下有车位,295万,单价62540元/平米
朝阳示范小区惠新西街南口中日医院南北通透两居室,470万,单价78609元/平米
太平路40号院正规两居室，满五年唯一，看房随时,498万,单价87522元/平米
双榆树北里 2室1厅 580万,580万,单价101187元/平米
胡家园小区 2室1厅 466万,466万,单价78730元/平米
商品房满五一套，电梯房，全明大两居，有钥匙随时看,390万,单价43875元/平米
马家堡 西马金润新楼 中间楼层 双通透双阳台,585万,单价62414元/平米
安贞里 满五年唯一商品房 楼层高 视野好 全明税费少,458万,单价71742元/平米
丽园东里 3室1厅 330万,330万,单价36909元/平米
此房满五年唯一，视野宽阔，看房方便，南北通透,375万,单价48244元/平米
五棵松苗圃宿舍家属楼 3层三居室 满五年唯一看房随时,570万,单价81499元/平米
永乐西区 中间层 全明格局 正规一居室,236万,单价58518元/平米
安定门内 南北两室一厅 2层 不用爬楼 看房方便,690万,单价113023元/平米
龙泽苑三居室，中高层采光好，格局方正,578万,单价42479元/平米
模式口南里中间层二局，南北通透，精装修,280万,单价45865元/平米
南北通透 满五年唯一 低楼层 看房方便,312万,单价35707元/平米
舒适的客厅面宽和落地飘窗，精装修带来高品质居家生活,509万,单价57547元/平米
北纬40度 2居室 南北通透 满五唯一 给换房周期,610万,单价79854元/平米
永乐东区一层 满五年家庭唯一，随时能看,295万,单价53404元/平米
飘home 朝南 带燃气 满五唯一 精装 拎包入住,425万,单价66293元/平米
南北通透 满五唯一 拎包入住 电梯板楼,365万,单价44491元/平米
朝东向视野佳，无遮挡，业主自住保持干净,230万,单价46409元/平米
常营丽景园 地铁六号线草房站 正规一居室 采光好,230万,单价45037元/平米
南北通透，中间楼层，交通方便配套齐全优质好房,299万,单价51955元/平米
上地东里 低楼层两居室 诚意出售,735万,单价123530元/平米
北京北小区，精装两居室，满五年唯一，楼层高视野好,456万,单价56200元/平米
东南大两居，满五年唯一，精装修，诚意出售,799万,单价63823元/平米
商品房，6月18日满五年，且唯一,335万,单价55658元/平米
精装修 正南朝向 高楼层采光好 带电梯 商品房,219万,单价35046元/平米
中间楼层，不高不矮，南北通透，业主诚售，满五唯一,475万,单价68583元/平米
小区中心，前后花园，高层观景，满五唯一优质2居,668万,单价57612元/平米
西南向三居室 高楼层视野好可以观西山,1070万,单价101135元/平米
大红门 角门 马家堡 远洋自然 南北向 两居室 紧邻地铁,710万,单价66219元/平米
东南朝向，满五年，家庭名下一套，装修不错,328万,单价51875元/平米
此房满五年唯一，精装修92年楼龄，户型方正，全明,620万,单价122288元/平米
建邦枫景东向两居室，临地铁，中间楼层，采光好,430万,单价48457元/平米
顺驰领海南北通透两居，满五年唯一，精装诚售，有车位,485万,单价48011元/平米
金世纪嘉园南向正规两居室，满五唯一，带露台,649万,单价79428元/平米
佳和宜园正规两居室 带电梯 户型方正 采光充足,260万,单价34270元/平米
满五唯一，配合转商，南北通透明厨明卫。,413万,单价35923元/平米
满五年唯一，业主自住房二次装修；双明卫户型！,1120万,单价81693元/平米
鹏润家园 2室1厅 640万,640万,单价63030元/平米
低总价一居室  楼层高  采光充足 交通便利,309万,单价67379元/平米
商满五唯一，一层小两居，南北通透,328万,单价59185元/平米
永乐西区 满五年唯一 中间层 南北通透两居室,312万,单价50017元/平米
此房满五年唯一，配套齐全，交通便利，前后不临街,1030万,单价70495元/平米
黑窑厂西里南北通透低楼层两居室,700万,单价145199元/平米
建东苑精装南北两居室，满五唯一商品房,376万,单价44231元/平米
满五年唯一，此房东西通透，视野好，无遮挡,1100万,单价83619元/平米
本房家庭北京唯一住宅，视野无遮挡，看房方便,1620万,单价107221元/平米
五芳园 2室1厅 285万,285万,单价43150元/平米
碧桂园小区C区 2室1厅 299万,299万,单价32370元/平米
满五年，全南向两居，诚心出售！,362万,单价48669元/平米
西南向三居 高楼层 视野开阔 看房方便,549万,单价43277元/平米
美利新世界带阁楼三居室出售  满五年家庭名下一套住房,480万,单价37239元/平米
东三环内，翌景嘉园，东北向的大两居，紧邻地铁,675万,单价43701元/平米
本房满五年业主在京一套住房  户型方正 采光充足,448万,单价39894元/平米
芳源里 3室1厅 598万,598万,单价41465元/平米
厢白旗甲2号院 2室1厅 650万,650万,单价89434元/平米
新上九龙花园满五年唯一商品房，精装修,713万,单价59937元/平米
南北通透 满五年唯一 阳光充足 户型方正 主次卧分离,610万,单价57531元/平米
上地西里  三居  业主诚意出售,1188万,单价76081元/平米
东三法式园西南电梯大三居诚心出售,525万,单价33406元/平米
东城区，此房满五唯一，采光好，无遮挡，看房方便。,799万,单价63864元/平米
长城国际，落地飘窗，采光好，免征个人所得税,248万,单价46442元/平米
满五年唯一商品房，全明格局，看房随时,415万,单价46635元/平米
高档社区，满5唯一，洋房户型，带南北两个大阳台,695万,单价53615元/平米
茂华景公院 3室2厅 1080万,1080万,单价63830元/平米
万象新天 三室两厅 满五唯一  不临街  729万,699万,单价57188元/平米
沙河高教园开间户型，满五唯一视野好,188万,单价54668元/平米
满五年唯一，多边户型，看房方便,812万,单价37584元/平米
南庭新苑南区 3室1厅 419万,419万,单价51793元/平米
南向两室两卫，带储物间，满五唯一，不临街，视野好,870万,单价72682元/平米
南北正规三居 观花园 安静位置 板楼 带明卫 税费少,1295万,单价86443元/平米
"6号楼一梯两户安静位置南北向三居，金地物业,接受周期",1220万,单价92285元/平米
田字格户型3居室，高层带电梯，满五唯一商品房精装修,790万,单价93492元/平米
"满五唯一,三居两卫。户型南北通透。近地铁",345万,单价26586元/平米
满五唯一 南向正规一居室 不临街 不遮挡 视野好,462万,单价71001元/平米
空港吉祥花园 3室1厅 470万,470万,单价49046元/平米
恋日绿岛矮层洋房三居室，满五年唯一，有地上车位,535万,单价45221元/平米
日光清城 电梯三居 南北通透 满五唯一,590万,单价45132元/平米
五环内，西南向两居，满五年唯一，中间楼层,368万,单价40014元/平米
惠新里军休所东南三居室电梯房地铁5.10号线换乘,600万,单价78085元/平米
满五年唯一 南北通透 楼层好 采光好,780万,单价64666元/平米
久筑物业新上南北通透明厅三居室,418万,单价47887元/平米
南北通透，两梯两户，高原值，诚心出售，2010年房子,1160万,单价108544元/平米
南向两居 临近地铁 中间楼层 采光视野好 无噪音,415万,单价46888元/平米
禧福汇 三居室 融创物业封闭管理,999万,单价75017元/平米
广渠门绿景馨园 南北通透两居室 看房随时,676万,单价95792元/平米
首邑溪谷 南北朝向 两居室 loft,325万,单价69638元/平米
双井合生国际高层南北通透观景三居室,1160万,单价85364元/平米
难得一出，客厅视觉正佳，空旷无遮挡可观街景，诚心售,448万,单价36456元/平米
富东嘉园中间位置全南两居室，业主诚意出售。,428万,单价52208元/平米
水郡长安，满五年南北三居，临河观景全明户型！,730万,单价48628元/平米
低楼层 南北通透 满五年2居室,228万,单价43620元/平米
北蜂窝63号院 2室1厅 420万,420万,单价77051元/平米
西坝河东里  双南卧室   全明格局    采光好,399万,单价72454元/平米
板楼的2层，小区安静整洁，税费少，随时签约,430万,单价70724元/平米
此房满五年，已购公房钢混结构，位置采光好交通便利,368万,单价60408元/平米
百万庄 南北两居室 中间层  单梯三户  管理不错,678万,单价140373元/平米
芳古园一区 2室1厅 395万,395万,单价63782元/平米
广华轩必选好房，东南二居，央产房带小院，随时能看！,610万,单价81617元/平米
丽晶长安中间楼层总价低正规三居室室适合三代人居住,489万,单价45907元/平米
融景城 2室1厅 520万,520万,单价59314元/平米
满五唯一 南北通透小三居 业主诚心出售 看房方便,346万,单价38742元/平米
明厨明卫，中间楼层必看好房！！,389万,单价68103元/平米
观河锦苑，南北三居，不临街，03年带电梯，中间层,1650万,单价134904元/平米
板楼南北通透 5号线10号线换乘站 带电梯,580万,单价74503元/平米
小区中间位置  南北通透两居室 中高楼层,510万,单价57439元/平米
融泽嘉园低总价三居室 小区环境好 正对小区花园,535万,单价47603元/平米
崇文门兴隆都市馨园南向 一层带花园,549万,单价103215元/平米
泛海国际香海园 3室2厅 1650万,1650万,单价88259元/平米
南北通透 户型方正 楼层低 居住方便,355万,单价62314元/平米
BOBO自由城 2室2厅 590万,590万,单价57573元/平米
BOBO自由城 2室2厅 580万,580万,单价60670元/平米
田字格方正户型没浪费面积，公房明厨明卫，高层电梯房,895万,单价99556元/平米
首城国际东南北三居室，明厨明卫，三面观花园,1350万,单价96161元/平米
厂洼西街6号院 中间层三居 有钥匙 看房随时！,1210万,单价112277元/平米
南北通透两居室，有电梯，建成年代1997年,380万,单价58229元/平米
恋日嘉园大两居 满五唯一 南北通透 楼层好 采光充足,720万,单价65088元/平米
南北通透三居，把东边，高层，观朝阳公园全景，满五年,1280万,单价89255元/平米
荣丰三期南向复试 中高楼层无遮挡 满五唯一,595万,单价149875元/平米
全南向两居   满五年的商品房    临近地铁730米,349万,单价65234元/平米
东北向三居 满五年唯一 楼层好 精装修,560万,单价84072元/平米
1995年国航大两居 东南沙发电视厅 可签约 看房方便,509万,单价76993元/平米
西南三环 满五唯一商品房 中间楼层 视野好 双卧朝南,485万,单价52365元/平米
满五年唯一，南北通透，视野宽阔，采光充足，配套齐全,320万,单价39956元/平米
西府景园满五唯一两居室，中间层无遮挡，正对绿化带,459万,单价51389元/平米
诚心出售 精装修 格局方正 看房方便,244万,单价43347元/平米
定慧西里南向大一居室 采光好 带电梯 交通便利,385万,单价75049元/平米
满五年 无个税 低楼层 无遮挡,435万,单价76585元/平米
满五唯一，精装修，不临街，中楼层，南北通透,455万,单价51309元/平米
商品房满五年唯一 自住精装修 采光好,428万,单价55362元/平米
满五年唯一 全南精装二居室 无遮挡采光足,388万,单价51337元/平米
高楼层全南向两居 满五唯一 采光充足 品质良好,482万,单价52472元/平米
动物园宿舍 1室1厅 355万,355万,单价98013元/平米
首套首付128万  纯板楼 通透2居 满五年唯一,345万,单价49167元/平米
月季园 精装两居 拎包入住 东南向采光好,456万,单价50973元/平米
产权满五年，自住，靠谱出售，两卧室朝南采光好,412万,单价50410元/平米
永乐西区低楼层两居室 南北通透 明厨明卫无遮挡满五年,310万,单价49912元/平米
西潞园二里！全明格局二居室！业主诚心出售！,210万,单价32823元/平米
艺水芳园 东南一室 满五年 免征个税,321万,单价50188元/平米
国际城二区 满五唯一 全南两居，中高楼层采光视野好,329万,单价40663元/平米
闹中取静户型方正，中间楼层诚心出售。,550万,单价78059元/平米
名佳花园三区 1室1厅 287万,287万,单价43618元/平米
领秀慧谷B区 1室1厅 338万,338万,单价53313元/平米
满5年唯一住房 南北通透 低楼层 出行方便,365万,单价51207元/平米
温泉东里 南向两居 满五年唯一 精装,358万,单价47224元/平米
户型方正大两居  精装修  中间楼层,698万,单价91782元/平米
东城区满五唯一 低总价两居室 看房方便 低楼层,520万,单价82645元/平米
满五年唯一南北通透采光视野好楼与楼有花园,778万,单价109655元/平米
洋桥角门甲4号院南北通透客厅带东窗2居室,325万,单价58234元/平米
中间楼层两居室 精装修  商品房满五年唯一 看房随时,485万,单价49390元/平米
CBD传奇板楼南北通透一居室，满五年唯一，精装修,510万,单价76866元/平米
满五唯一采光充足，精装修南北通透正规两居室,335万,单价41703元/平米
五棵松南  中间楼层  满五年唯一,355万,单价61568元/平米
劲松农光东里 小户型 满五年唯一 诚心出售,266万,单价69344元/平米
满五年唯一 南北通透 精装修 中间楼层,345万,单价42125元/平米
满五唯一 低密度板楼 有电梯 精装修 格局方正规整,330万,单价58038元/平米
魏公村区域2000年 朝东高楼层无遮挡观校园 大两居室,820万,单价88678元/平米
北京人家+落地窗+南北通透两居室,448万,单价50434元/平米
满五年唯一 板楼南北通透，采光好，一梯两户,435万,单价63347元/平米
满五年、低总价、南北通透一居、中间楼层，随时签约,312万,单价57238元/平米
满五年家庭一套 小户型正规两居室  中高层 无遮挡,580万,单价73905元/平米
金隅康惠园 2室1厅 320万,320万,单价46539元/平米
商品房满五年唯一两居室，视野采光好，看房方便。,382万,单价48404元/平米
柏林爱乐一期 1室1厅 369万,369万,单价55994元/平米
高层电梯房  满五年家庭首套  视野开阔   采光好,359万,单价36381元/平米
南北通透 满五唯一 格局方正 无遮挡,365万,单价38633元/平米
大泥湾 南北通透2居室精装修 采光好满五年唯一！,608万,单价103472元/平米
高层南向一居室 无遮挡 视野好 满五年家庭名下一套房,488万,单价81921元/平米
通惠家园二期 板楼南北通透两居室,547万,单价62723元/平米
满五年唯一  对小区花园 随时看房 随时腾房,760万,单价69636元/平米
东丽温泉小户型两居室 诚心出售,417万,单价54739元/平米
万科精装两居，满五唯一，位置好,368万,单价42495元/平米
北区南向大两居，宽敞明亮，采光充足，满五唯一,750万,单价67410元/平米
金隅万科城南北双通透户型 中间楼层,405万,单价45609元/平米
旗胜家园 2室1厅 410万,410万,单价45714元/平米
今典花园西南两居 满五年家庭在京就这一套房,790万,单价87400元/平米
正规1居 带储物间  满五唯一  对小区花园视野无遮挡,528万,单价65137元/平米
宋家庄政馨园二区  西南向正规一居室,315万,单价50815元/平米
满五唯一 南北通透 二居室 精装修,363万,单价41725元/平米
幸福时光 南向一居 满五唯一 好楼层 近地铁公园,420万,单价70270元/平米
满五唯一，高层带电梯，无遮挡，采光好。,265万,单价29386元/平米
此房满五唯一 高楼层 采光好 前无遮挡,215万,单价37256元/平米
全南向两居室，中间楼层视野无遮挡，采光好,285万,单价31855元/平米
梨园东里 正规南北通透两居 板楼中间层 公摊小,295万,单价47581元/平米
铭科苑大一居 中间层  采光无遮挡,405万,单价56204元/平米
公房满五年唯一，双卧朝南两居室，低楼层。,309万,单价52100元/平米
小白楼，户数少，全南向无遮挡，首付180万,378万,单价56834元/平米
东向正规两居室，35.2平米大客厅；新社区，人车分流,556万,单价53074元/平米
巧克力城 1室1厅 279万,279万,单价55303元/平米
满五唯一、通惠家园二期板楼、一梯两户、无遮挡,480万,单价54293元/平米
清芷园 2室1厅 940万,940万,单价102219元/平米
富华家园东南向两居室，满五年商品房,389万,单价47451元/平米
正规二居室 主卧客厅朝南 客厅带东窗 敞亮透气,275万,单价36473元/平米
汇成家园东向大一居，安静舒适，格局方正,470万,单价67249元/平米
新上好房：满五唯一 ，免征个税，首付90万,216万,单价38251元/平米
满五年唯一，首付155万即可，楼层好，立水桥地铁600米,350万,单价48551元/平米
宋家庄家园 2室1厅 270万,270万,单价39549元/平米
东二环 2009年的小区  南向一居室 满五年唯一,539万,单价68220元/平米
房子满五年，  业主诚意出售，看房随时,536万,单价63568元/平米
通州万达商圈板楼社区南北通透2居,365万,单价41239元/平米
南北通透，采光好，交通便利，诚心出售。,245万,单价46149元/平米
武夷花园牡丹园 2室1厅 469万,469万,单价50940元/平米
南三环高端商品房社区南北通透大三居，满五年唯一,980万,单价60494元/平米
东三区，商品房满五年唯一，精装修一居室，看房方便,325万,单价51425元/平米
鹿海园小区南北通透一居室，中间楼层，满五唯一,260万,单价46621元/平米
宏仁家园 2室1厅 240万,240万,单价29297元/平米
和平里、和平街十三区、科技园精装三居室28平米客厅,778万,单价75918元/平米
大三居  纯正电梯板楼，一梯两户，花园洋房,650万,单价56454元/平米
南北通透两居室，带独立客厅，精装修，楼层好！,275万,单价41826元/平米
水郡长安南北全明三居，满五年，可拎包入住！,690万,单价44416元/平米
朝庭公寓 朝西 二次精装修 视野棒 落地大飘窗,730万,单价65138元/平米
南北通透 业主诚意出售 看房方便,495万,单价54679元/平米
泛海经典户型 元宝三居 保养全新 诚意出售,2000万,单价101359元/平米
方庄芳群园精装修两居 看房方便,399万,单价66512元/平米
房子满五年公房，南北三居室，钢混结构,423万,单价62243元/平米
广内 1991年小区  南北精装修  地铁长椿街,650万,单价106891元/平米
中信新城西区 3室1厅 790万,790万,单价54808元/平米
